plot_idx,block_idx,block_reward_type,block_forced_type,rewards,forgone_rewards,regrets,perc_opt_actions
3000,30.0,1.0,1.0,0.48802084,0.34166667,,0.01371875,0.9
3000,30.0,2.0,0.0,0.50677085,0.271875,,0.0453125,0.8307292
3000,30.0,3.0,1.0,0.5125,0.31354168,,0.015239583,0.90052086
3000,31.0,0.0,0.0,0.49270833,0.32708332,,0.038875,0.8463542
3000,31.0,1.0,1.0,0.48802084,0.35520834,,0.015020833,0.89270836
3000,31.0,2.0,0.0,0.50677085,0.30208334,,0.046729166,0.828125
3000,31.0,3.0,1.0,0.5125,0.31458333,,0.014822916,0.903125
3000,32.0,0.0,0.0,0.49270833,0.334375,,0.037020836,0.85
3000,32.0,1.0,1.0,0.48802084,0.36458334,,0.013072917,0.90260416
3000,32.0,2.0,0.0,0.50677085,0.3125,,0.043239582,0.8333333
3000,32.0,3.0,1.0,0.5125,0.27604166,,0.013625,0.90520835
3000,33.0,0.0,0.0,0.49270833,0.31875,,0.0368125,0.8484375
3000,33.0,1.0,1.0,0.48802084,0.34583333,,0.013739583,0.8984375
3000,33.0,2.0,0.0,0.50677085,0.28645834,,0.04384375,0.83177084
3000,33.0,3.0,1.0,0.5125,0.30833334,,0.012572916,0.9125
3000,34.0,0.0,0.0,0.49270833,0.30208334,,0.038,0.8463542
3000,34.0,1.0,1.0,0.48802084,0.334375,,0.013760417,0.9010417
3000,34.0,2.0,0.0,0.50677085,0.265625,,0.04426042,0.82708335
3000,34.0,3.0,1.0,0.5125,0.26979166,,0.01196875,0.91041666
3000,35.0,0.0,0.0,0.49270833,0.2875,,0.03759375,0.8489583
3000,35.0,1.0,1.0,0.48802084,0.32604167,,0.011447917,0.90729165
3000,35.0,2.0,0.0,0.50677085,0.325,,0.043562498,0.83177084
3000,35.0,3.0,1.0,0.5125,0.32291666,,0.0136354165,0.9036458
3000,36.0,0.0,0.0,0.49270833,0.3125,,0.035593748,0.853125
3000,36.0,1.0,1.0,0.48802084,0.3625,,0.01303125,0.90416664
3000,36.0,2.0,0.0,0.50677085,0.32604167,,0.045,0.834375
3000,36.0,3.0,1.0,0.5125,0.284375,,0.012864584,0.90989584
3000,37.0,0.0,0.0,0.49270833,0.31458333,,0.03680208,0.85
3000,37.0,1.0,1.0,0.48802084,0.359375,,0.012437499,0.90260416
3000,37.0,2.0,0.0,0.50677085,0.32083333,,0.041166667,0.840625
3000,37.0,3.0,1.0,0.5125,0.3125,,0.014052083,0.9067708
3000,38.0,0.0,0.0,0.49270833,0.28958333,,0.038260415,0.8463542
3000,38.0,1.0,1.0,0.48802084,0.32395834,,0.013197917,0.9036458
3000,38.0,2.0,0.0,0.50677085,0.290625,,0.041572917,0.8390625
3000,38.0,3.0,1.0,0.5125,0.3,,0.011802083,0.909375
3000,39.0,0.0,0.0,0.49270833,0.2875,,0.03635417,0.8541667
3000,39.0,1.0,1.0,0.48802084,0.33333334,,0.011927083,0.90625
3000,39.0,2.0,0.0,0.50677085,0.29583332,,0.043010417,0.8333333
3000,39.0,3.0,1.0,0.5125,0.31354168,,0.010552083,0.9140625
4000,0.0,0.0,0.0,0.50625,-0.032291666,,0.32928127,0.5046875
4000,0.0,1.0,1.0,0.48489583,0.09375,,0.23392709,0.58958334
4000,0.0,2.0,0.0,0.51354164,-0.004166667,,0.32089582,0.47864583
4000,0.0,3.0,1.0,0.4953125,0.065625,,0.24660417,0.5885417
4000,1.0,0.0,0.0,0.50625,0.12604167,,0.16520834,0.67291665
4000,1.0,1.0,1.0,0.48489583,0.19270833,,0.13978125,0.70989585
4000,1.0,2.0,0.0,0.51354164,0.123958334,,0.15641667,0.6588542
4000,1.0,3.0,1.0,0.4953125,0.16770834,,0.1456875,0.70208335
4000,2.0,0.0,0.0,0.50625,0.13645834,,0.175,0.65
4000,2.0,1.0,1.0,0.48489583,0.25520834,,0.11142708,0.7427083
4000,2.0,2.0,0.0,0.51354164,0.11354167,,0.17947917,0.6354167
4000,2.0,3.0,1.0,0.4953125,0.20416667,,0.109822914,0.7369792
4000,3.0,0.0,0.0,0.50625,0.20416667,,0.115666665,0.71979165
4000,3.0,1.0,1.0,0.48489583,0.25625,,0.081906244,0.7817708
4000,3.0,2.0,0.0,0.51354164,0.13229166,,0.12009375,0.71197915
4000,3.0,3.0,1.0,0.4953125,0.26875,,0.084468745,0.7765625
4000,4.0,0.0,0.0,0.50625,0.225,,0.11876042,0.71979165
4000,4.0,1.0,1.0,0.48489583,0.26145834,,0.07555208,0.78541666
4000,4.0,2.0,0.0,0.51354164,0.18333334,,0.114906244,0.7140625
4000,4.0,3.0,1.0,0.4953125,0.26145834,,0.070802085,0.79375
4000,5.0,0.0,0.0,0.50625,0.24375,,0.094312504,0.7453125
4000,5.0,1.0,1.0,0.48489583,0.2625,,0.06454167,0.80260414
4000,5.0,2.0,0.0,0.51354164,0.17916666,,0.09780208,0.7447917
4000,5.0,3.0,1.0,0.4953125,0.25833333,,0.061020836,0.80885416
4000,6.0,0.0,0.0,0.50625,0.2125,,0.085999995,0.765625
4000,6.0,1.0,1.0,0.48489583,0.27083334,,0.060510416,0.81041664
